title,body,source,timestamp,tags
Penyampaian Daftar  Calon Anggota Dewan Komisaris Terpilih PT Bursa Efek Indonesia Masa Jabatan 2024-2028,Berdasarkan surat dari Otoritas Jasa Keuangan (OJK) nomor: SR-6/D.04/2024 tertanggal 12 Juni 2024 perihal: Penyampaian Daftar Calon Anggota Dewan Komisaris Terpilih PT Bursa Efek Indonesia Masa Jabatan 2024 s.d. 2028,/api/api/publication/news/10691,2024-06-14T10:25:21,"RUPST,2024"
Panggilan Rapat Umum Pemegang Saham Tahunan (RUPST) untuk Pemegang Saham BEI,"Pada Selasa, 11 Juni 2024, Direksi PT Bursa Efek Indonesia (BEI) mengundang para Pemegang Saham BEI untuk menghadiri RUPST BEI",/api/api/publication/news/10689,2024-06-11T11:27:24,"RUPST,BEI,2024"
Kegiatan CSR Pengadaan Fasilitas Galeri Investasi dan Kendaraan Ambulance di Jambi,"Pada hari Minggu, 17 Mei 2024 telah dilaksanakan Kegiatan Pengadaan Fasilitas Galeri Investasi dan Kendaraan Ambulance di Jambi
",/api/api/publication/news/10687,2024-06-10T15:34:13,CSR
Kegiatan CSR Pengadaan Bibit Ternak Babi di Kabupaten Jayapura dan Kabupaten Nabire ,"Pada hari Senin, 27 Mei 2024 telah dilaksanakan Kegiatan  Pengadaan Bibit Ternak Babi di Kabupaten Jayapura dan Kabupaten Nabire yang dihadiri oleh masyarakat setempat.",/api/api/publication/news/10685,2024-06-10T15:19:11,CSR
"Kegiatan CSR Renovasi Sekolah dan Pembangunan Jembatan di Ciwidey, Jawa Barat","Pada Jumat, 10 Mei 2024, dilakukan renovasi MTs Al-Huda serta pembangunan jembatan di atas Sungai Cilaki. 
",/api/api/publication/news/10683,2024-06-10T15:14:21,CSR
Seremoni Pencatatan Perdana Saham PT Benteng Api Technic Tbk (BATR) di Bursa Efek Indonesia,"Pada Senin, 10 Juni 2024, perdagangan PT Bursa Efek Indonesia (BEI) dibuka dalam rangka pencatatan perdana saham PT Benteng Api Technic Tbk (BATR) di papan pengembangan BEI. BATR merupakan perusahaan tercatat ke-25 yang tercatat di BEI pada tahun 2024.",/api/api/publication/news/10681,2024-06-10T15:03:14.977,BATR
Pencatatan Perdana Saham dan Waran PT Benteng Api Technic Tbk (BATR) di Bursa Efek Indonesia,"Pada Senin, 10 Juni 2024, pembukaan perdagangan Bursa Efek Indonesia (BEI) dilakukan oleh PT Benteng Api Technic Tbk (BATR) dalam rangka pencatatan perdana saham di Papan Pengembangan BEI. BATR menjadi perusahaan ke-25 yang tercatat di BEI pada tahun 2024.
BATR bergerak pada sektor Barang Baku dengan sub industri Material Konstruksi. Harga penawaran saham BATR adalah senilai Rp110,00 per lembar dengan jumlah saham yang dicatatkan sebanyak 3.025.000.000 lembar saham, sehingga kapitalisasi pasarnya adalah senilai Rp332.750.000.000. Selain itu, akan dicatatkan pula Warrant I dengan kode BATR-W dengan exercise price senilai Rp300,00.
",/api/api/publication/news/10679,2024-06-10T00:21:37.05,BATR
Pencatatan Obligasi Berkelanjutan II Lontar Papyrus Pulp & Paper Industry Tahap IV Tahun 2024,"Pada 6 Juni 2024, Obligasi Berkelanjutan II Lontar Papyrus Pulp & Paper Industry Tahap IV Tahun 2024 oleh PT Lontar Papyrus Pulp & Paper Industry mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10677,2024-06-06T10:43:17.46,LPPI
Pencatatan Obligasi Berkelanjutan I Dian Swastatika Sentosa Tahap II Tahun 2024 dan Sukuk Mudharabah Berkelanjutan I Dian Swastatika Sentosa Tahap II Tahun 2024,"Pada 6 Juni 2024, Obligasi Berkelanjutan I Dian Swastatika Sentosa Tahap II Tahun 2024 dan Sukuk Mudharabah Berkelanjutan I Dian Swastatika Sentosa Tahap II Tahun 2024 oleh PT Dian Swastatika Sentosa Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10675,2024-06-06T09:54:54.147,"DSSA,SMDSSA"
Pencatatan Obligasi Berkelanjutan IV Summarecon Agung Tahap III Tahun 2024,"Pada 5 Juni 2024, Obligasi Berkelanjutan IV Summarecon Agung Tahap III Tahun 2024 oleh PT Summarecon Agung Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10673,2024-06-05T09:09:04,SMRA
